alimento,peso_crudo_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hidratos_carbono_g,fibra_g,azucar_g,carga_glicemica,cantidad_sugerida,peso_bruto_g,ag_saturados_g,ag_monoinsaturados_g,ag_poliinsaturados_g,colesterol_g,categoria,cantidad,medida,acido_folico_g,vitamina_a_g,selenio_g,calcio_g,hierro_g,sodio_g,potasio_g,fosforo_g,zinc_g,acido_ascorbico_g
Nuez,9.0,9.0,64.0,1.7,5.6,3.0,1.3,1.9,0.0,,,0.0,0.0,0.0,0.0,grasas,0.75,taza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuez acaramelada,12.0,12.0,67.0,0.9,7.0,5.6,1.3,1.9,0.0,,,0.0,0.0,0.0,0.0,grasas,3.0,pieza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuez de Castilla acaramelada,11.0,11.0,64.0,1.9,5.6,2.3,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,grasas,0.75,cda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuez de la India con almendra,12.0,12.0,72.0,2.1,5.9,3.4,1.1,0.0,0.0,,,0.0,0.0,0.0,0.0,grasas,15.0,mitades,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuez de la India sin sal,13.0,13.0,73.0,1.9,5.9,4.2,1.2,3.5,0.0,,,0.0,0.0,0.0,0.0,grasas,8.0,pieza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuez de macadamia,4.0,10.0,73.0,0.9,7.7,1.4,1.0,0.0,0.0,,,1.1,6.1,0.1,0.1,grasas,1.0,pieza,0.0,0.0,0.0,0.0,0.0002,0.038200000000000005,0.0143,0.0004,0.0,0.0
Nuez partida,3.0,9.0,67.0,0.9,7.0,1.3,0.9,0.0,0.0,,,0.6,4.2,1.9,1.9,grasas,1.0,pieza,0.0,0.0,0.0,0.0,0.0004,0.057,0.0277,0.0001,0.0,0.0
Nuez deshidratada,7.0,10.0,74.0,1.0,7.7,1.4,1.0,0.0,0.0,,,0.7,4.6,2.1,2.1,grasas,1.0,mitades,0.0,0.0,0.0,0.0,0.0004,0.063,0.0458,0.0,0.0,0.0
Nuez en mitades,3.0,9.0,67.0,0.9,7.0,1.3,0.9,0.0,0.0,,,0.6,4.2,1.9,1.9,grasas,1.0,pieza,0.0,0.0,0.0,0.0,0.0003,0.057,0.0415,0.0,0.0,0.0
Nuez entera,3.25,12.0,64.0,1.7,5.6,3.0,0.9,0.0,0.0,,,1.3,4.4,1.9,1.9,grasas,1.0,taza,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0
Nuez garapiñada,10.0,10.0,71.0,1.0,7.4,1.4,0.9,0.0,0.0,,,0.6,4.2,0.0,0.0,grasas,1.0,taza,0.0,0.0,0.0,0.0,0.0003,0.0604,0.0439,0.0,0.0,0.0
Nuez picada,3.0,9.0,67.0,0.9,7.0,1.3,0.7,0.0,0.0,,,0.3,2.4,0.0,0.0,grasas,1.0,g,0.0,0.0,0.0,0.0,0.0002,0.057,0.029,0.0,0.0,0.0
Nuez tostada,4.0,13.0,62.0,1.2,3.8,6.5,0.9,0.0,0.0,,,0.9,2.5,0.0,0.0,grasas,1.0,pieza,0.0,0.0,0.0,0.0,0.0002,0.0423,0.0347,0.0,0.0,0.0
Pasta de almendras,1.0,10.0,58.0,2.8,4.9,1.7,0.2,0.0,0.0,,,0.9,2.5,0.0,0.0,grasas,1.0,cda,0.0,0.0,0.0,0.0,0.0002,0.067,0.047799999999999995,0.0,0.0,0.0
Pasta de cacahuate desgrasada,1.0,10.0,43.0,3.0,2.5,2.8,1.0,0.0,0.0,,,1.4,1.4,0.0,0.0,grasas,1.0,cda,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0
